ÐòºÅ,normalization_mutual_sparseness,log10_nor_mutual_sp
78,0.000820965,-3.085675197
79,0.000820965,-3.085675197
80,0.000820965,-3.085675197
81,0.000820965,-3.085675197
82,0.000822182,-3.085031797
83,0.000822182,-3.085031797
84,0.000822182,-3.085031797
85,0.000822182,-3.085031797
86,0.000822182,-3.085031797
87,0.000822182,-3.085031797
88,0.000822182,-3.085031797
89,0.000822182,-3.085031797
90,0.000822182,-3.085031797
91,0.000822182,-3.085031797
92,0.000822182,-3.085031797
93,0.000824611,-3.083750689
94,0.000824611,-3.083750689
95,0.000824611,-3.083750689
96,0.000824611,-3.083750689
97,0.000824611,-3.083750689
98,0.000824611,-3.083750689
99,0.000824611,-3.083750689
100,0.000824611,-3.083750689
101,0.000824611,-3.083750689
102,0.000824611,-3.083750689
103,0.000824611,-3.083750689
104,0.000824611,-3.083750689
105,0.000824611,-3.083750689
106,0.000824611,-3.083750689
107,0.000824611,-3.083750689
108,0.000824611,-3.083750689
109,0.000824611,-3.083750689
110,0.000824611,-3.083750689
111,0.000824611,-3.083750689
112,0.000824611,-3.083750689
113,0.000824611,-3.083750689
114,0.000824611,-3.083750689
115,0.000824611,-3.083750689
116,0.000824611,-3.083750689
117,0.000824611,-3.083750689
118,0.000824611,-3.083750689
119,0.000824611,-3.083750689
120,0.000824611,-3.083750689
121,0.000824611,-3.083750689
122,0.000831856,-3.079952098
123,0.000831856,-3.079952098
124,0.000831856,-3.079952098
125,0.000831856,-3.079952098
126,0.000831856,-3.079952098
127,0.000831856,-3.079952098
128,0.000831856,-3.079952098
129,0.000831856,-3.079952098
130,0.000831856,-3.079952098
131,0.000831856,-3.079952098
132,0.000835454,-3.078077434
133,0.000835454,-3.078077434
134,0.000835454,-3.078077434
135,0.000835454,-3.078077434
136,0.000835454,-3.078077434
137,0.000835454,-3.078077434
138,0.000835454,-3.078077434
139,0.000835454,-3.078077434
140,0.000835454,-3.078077434
141,0.000835454,-3.078077434
142,0.000835454,-3.078077434
143,0.000835454,-3.078077434
144,0.000835454,-3.078077434
145,0.000835454,-3.078077434
146,0.000840228,-3.075602795
147,0.000840228,-3.075602795
148,0.000840228,-3.075602795
149,0.000840228,-3.075602795
150,0.000840228,-3.075602795
151,0.000840228,-3.075602795
152,0.000840228,-3.075602795
153,0.000840228,-3.075602795
154,0.000840228,-3.075602795
155,0.000840228,-3.075602795
156,0.000843791,-3.073765148
157,0.000843791,-3.073765148
158,0.000843791,-3.073765148
159,0.000843791,-3.073765148
160,0.000843791,-3.073765148
161,0.000843791,-3.073765148
162,0.000843791,-3.073765148
163,0.000843791,-3.073765148
164,0.000848518,-3.071338897
165,0.000848518,-3.071338897
166,0.000848518,-3.071338897
167,0.000848518,-3.071338897
168,0.000848518,-3.071338897
169,0.000848518,-3.071338897
170,0.000848518,-3.071338897
171,0.000848518,-3.071338897
172,0.000848518,-3.071338897
173,0.000850872,-3.070135862
174,0.000850872,-3.070135862
175,0.000850872,-3.070135862
176,0.000850872,-3.070135862
177,0.000850872,-3.070135862
178,0.000850872,-3.070135862
179,0.000850872,-3.070135862
180,0.00085439,-3.068343715
181,0.00085439,-3.068343715
182,0.00085439,-3.068343715
183,0.00085439,-3.068343715
184,0.00085439,-3.068343715
185,0.00085439,-3.068343715
186,0.00085439,-3.068343715
187,0.00085439,-3.068343715
188,0.00085439,-3.068343715
189,0.00085439,-3.068343715
190,0.00085439,-3.068343715
191,0.00085439,-3.068343715
192,0.000859059,-3.065976964
193,0.000859059,-3.065976964
194,0.000859059,-3.065976964
195,0.000859059,-3.065976964
196,0.000860222,-3.065389285
197,0.000860222,-3.065389285
198,0.000860222,-3.065389285
199,0.000860222,-3.065389285
200,0.000860222,-3.065389285
201,0.000860222,-3.065389285
202,0.000860222,-3.065389285
203,0.000860222,-3.065389285
204,0.000860222,-3.065389285
205,0.000860222,-3.065389285
206,0.000863703,-3.063635731
207,0.000863703,-3.063635731
208,0.000863703,-3.063635731
209,0.000863703,-3.063635731
210,0.000863703,-3.063635731
211,0.000863703,-3.063635731
212,0.000868321,-3.061319472
213,0.000868321,-3.061319472
214,0.000868321,-3.061319472
215,0.000868321,-3.061319472
216,0.000868321,-3.061319472
217,0.000868321,-3.061319472
218,0.000868321,-3.061319472
219,0.000868321,-3.061319472
220,0.000868321,-3.061319472
221,0.000868321,-3.061319472
222,0.000868321,-3.061319472
223,0.000868321,-3.061319472
224,0.000868321,-3.061319472
225,0.000868321,-3.061319472
226,0.000868321,-3.061319472
227,0.000868321,-3.061319472
228,0.000868321,-3.061319472
229,0.000868321,-3.061319472
230,0.000868321,-3.061319472
231,0.000868321,-3.061319472
232,0.000878625,-3.056196495
233,0.000878625,-3.056196495
234,0.000878625,-3.056196495
235,0.000878625,-3.056196495
236,0.000878625,-3.056196495
237,0.000880898,-3.055074285
238,0.000880898,-3.055074285
239,0.000880898,-3.055074285
240,0.000880898,-3.055074285
241,0.000880898,-3.055074285
242,0.000880898,-3.055074285
243,0.000882033,-3.054515347
244,0.000882033,-3.054515347
245,0.000882033,-3.054515347
246,0.000882033,-3.054515347
247,0.000882033,-3.054515347
248,0.000882033,-3.054515347
249,0.000882033,-3.054515347
250,0.000882033,-3.054515347
251,0.000882033,-3.054515347
252,0.000882033,-3.054515347
253,0.000887683,-3.051742036
254,0.000887683,-3.051742036
255,0.000887683,-3.051742036
256,0.000887683,-3.051742036
257,0.000887683,-3.051742036
258,0.000887683,-3.051742036
259,0.000891056,-3.050094894
260,0.000891056,-3.050094894
261,0.000891056,-3.050094894
262,0.000891056,-3.050094894
263,0.000891056,-3.050094894
264,0.000894417,-3.048460152
265,0.000894417,-3.048460152
266,0.000894417,-3.048460152
267,0.000894417,-3.048460152
268,0.000894417,-3.048460152
269,0.000894417,-3.048460152
270,0.000894417,-3.048460152
271,0.000894417,-3.048460152
272,0.000894417,-3.048460152
273,0.000894417,-3.048460152
274,0.000894417,-3.048460152
275,0.000894417,-3.048460152
276,0.000895534,-3.047917961
277,0.000895534,-3.047917961
278,0.000895534,-3.047917961
279,0.000895534,-3.047917961
280,0.000898878,-3.046299465
281,0.000898878,-3.046299465
282,0.000898878,-3.046299465
283,0.000899989,-3.045762636
284,0.000899989,-3.045762636
285,0.000899989,-3.045762636
286,0.000899989,-3.045762636
287,0.000899989,-3.045762636
288,0.000899989,-3.045762636
289,0.000899989,-3.045762636
290,0.000899989,-3.045762636
291,0.000899989,-3.045762636
292,0.000904423,-3.043628493
293,0.000904423,-3.043628493
294,0.000904423,-3.043628493
295,0.000904423,-3.043628493
296,0.000904423,-3.043628493
297,0.000904423,-3.043628493
298,0.000905528,-3.043098219
299,0.000905528,-3.043098219
300,0.000905528,-3.043098219
301,0.000905528,-3.043098219
302,0.000905528,-3.043098219
303,0.000905528,-3.043098219
304,0.000905528,-3.043098219
305,0.000905528,-3.043098219
306,0.000905528,-3.043098219
307,0.000905528,-3.043098219
308,0.000905528,-3.043098219
309,0.00091213,-3.039943482
310,0.00091213,-3.039943482
311,0.00091213,-3.039943482
312,0.00091213,-3.039943482
313,0.000917595,-3.037349099
314,0.000917595,-3.037349099
315,0.000917595,-3.037349099
316,0.000917595,-3.037349099
317,0.000920858,-3.035807219
318,0.000920858,-3.035807219
319,0.000920858,-3.035807219
320,0.000920858,-3.035807219
321,0.000920858,-3.035807219
322,0.000920858,-3.035807219
323,0.000920858,-3.035807219
324,0.000920858,-3.035807219
325,0.000920858,-3.035807219
326,0.000920858,-3.035807219
327,0.000921944,-3.035295682
328,0.000921944,-3.035295682
329,0.000921944,-3.035295682
330,0.000921944,-3.035295682
331,0.000921944,-3.035295682
332,0.000921944,-3.035295682
333,0.000921944,-3.035295682
334,0.000921944,-3.035295682
335,0.000921944,-3.035295682
336,0.000921944,-3.035295682
337,0.000921944,-3.035295682
338,0.000921944,-3.035295682
339,0.000921944,-3.035295682
340,0.000921944,-3.035295682
341,0.000921944,-3.035295682
342,0.000921944,-3.035295682
343,0.000921944,-3.035295682
344,0.000921944,-3.035295682
345,0.000921944,-3.035295682
346,0.00093058,-3.031246199
347,0.00093058,-3.031246199
348,0.00093058,-3.031246199
349,0.00093058,-3.031246199
350,0.00093058,-3.031246199
351,0.00093058,-3.031246199
352,0.000933798,-3.029746903
353,0.000933798,-3.029746903
354,0.000933798,-3.029746903
355,0.000933798,-3.029746903
356,0.000933798,-3.029746903
357,0.000933798,-3.029746903
358,0.000933798,-3.029746903
359,0.000939137,-3.027270853
360,0.000939137,-3.027270853
361,0.000939137,-3.027270853
362,0.000939137,-3.027270853
363,0.000939137,-3.027270853
364,0.000939137,-3.027270853
365,0.000939137,-3.027270853
366,0.000940202,-3.026779013
367,0.000940202,-3.026779013
368,0.000940202,-3.026779013
369,0.000940202,-3.026779013
370,0.000940202,-3.026779013
371,0.000940202,-3.026779013
372,0.000940202,-3.026779013
373,0.000940202,-3.026779013
374,0.000940202,-3.026779013
375,0.000940202,-3.026779013
376,0.000940202,-3.026779013
377,0.000943387,-3.025310142
378,0.000943387,-3.025310142
379,0.000943387,-3.025310142
380,0.000943387,-3.025310142
381,0.000943387,-3.025310142
382,0.000943387,-3.025310142
383,0.000943387,-3.025310142
384,0.000943387,-3.025310142
385,0.000943387,-3.025310142
386,0.000943387,-3.025310142
387,0.000943387,-3.025310142
388,0.000943387,-3.025310142
389,0.000943387,-3.025310142
390,0.000943387,-3.025310142
391,0.000943387,-3.025310142
392,0.000943387,-3.025310142
393,0.000943387,-3.025310142
394,0.000943387,-3.025310142
395,0.000943387,-3.025310142
396,0.000943387,-3.025310142
397,0.000943387,-3.025310142
398,0.000943387,-3.025310142
399,0.000943387,-3.025310142
400,0.000943387,-3.025310142
401,0.000943387,-3.025310142
402,0.000943387,-3.025310142
403,0.000947617,-3.023366977
404,0.000947617,-3.023366977
405,0.000947617,-3.023366977
406,0.000947617,-3.023366977
407,0.000947617,-3.023366977
408,0.000947617,-3.023366977
409,0.000947617,-3.023366977
410,0.000947617,-3.023366977
411,0.000948672,-3.02288389
412,0.000948672,-3.02288389
413,0.000948672,-3.02288389
414,0.000948672,-3.02288389
415,0.000948672,-3.02288389
416,0.000948672,-3.02288389
417,0.000948672,-3.02288389
418,0.000948672,-3.02288389
419,0.000950778,-3.02192093
420,0.000950778,-3.02192093
421,0.000950778,-3.02192093
422,0.000950778,-3.02192093
423,0.000956022,-3.019532047
424,0.000956022,-3.019532047
425,0.000956022,-3.019532047
426,0.000956022,-3.019532047
427,0.000956022,-3.019532047
428,0.000956022,-3.019532047
429,0.000957068,-3.019057408
430,0.000957068,-3.019057408
431,0.000957068,-3.019057408
432,0.000960197,-3.017639685
433,0.000960197,-3.017639685
434,0.000960197,-3.017639685
435,0.000960197,-3.017639685
436,0.000960197,-3.017639685
437,0.000963316,-3.016231157
438,0.000963316,-3.016231157
439,0.000963316,-3.016231157
440,0.000963316,-3.016231157
441,0.00096539,-3.015297189
442,0.00096539,-3.015297189
443,0.00096539,-3.015297189
444,0.00096539,-3.015297189
445,0.00096539,-3.015297189
446,0.00096539,-3.015297189
447,0.000967459,-3.014367221
448,0.000967459,-3.014367221
449,0.000967459,-3.014367221
450,0.000976718,-3.010230958
451,0.000976718,-3.010230958
452,0.000976718,-3.010230958
453,0.000976718,-3.010230958
454,0.000976718,-3.010230958
455,0.000976718,-3.010230958
456,0.000976718,-3.010230958
457,0.000980804,-3.008417609
458,0.000980804,-3.008417609
459,0.000980804,-3.008417609
460,0.000980804,-3.008417609
461,0.000980804,-3.008417609
462,0.000980804,-3.008417609
463,0.000981823,-3.007966628
464,0.000981823,-3.007966628
465,0.000981823,-3.007966628
466,0.000983858,-3.007067466
467,0.000983858,-3.007067466
468,0.000983858,-3.007067466
469,0.000984874,-3.006619278
470,0.000984874,-3.006619278
471,0.000984874,-3.006619278
472,0.000984874,-3.006619278
473,0.000984874,-3.006619278
474,0.000984874,-3.006619278
475,0.000984874,-3.006619278
476,0.000984874,-3.006619278
477,0.000984874,-3.006619278
478,0.000987915,-3.005280236
479,0.000989938,-3.004392107
480,0.000989938,-3.004392107
481,0.000989938,-3.004392107
482,0.000989938,-3.004392107
483,0.000989938,-3.004392107
484,0.000989938,-3.004392107
485,0.000989938,-3.004392107
486,0.000992964,-3.003066688
487,0.000992964,-3.003066688
488,0.000992964,-3.003066688
489,0.000992964,-3.003066688
490,0.000992964,-3.003066688
491,0.000992964,-3.003066688
492,0.000992964,-3.003066688
493,0.000999988,-3.000005145
494,0.000999988,-3.000005145
495,0.000999988,-3.000005145
496,0.000999988,-3.000005145
497,0.000999988,-3.000005145
498,0.000999988,-3.000005145
499,0.000999988,-3.000005145
500,0.000999988,-3.000005145
501,0.000999988,-3.000005145
502,0.000999988,-3.000005145
503,0.000999988,-3.000005145
504,0.000999988,-3.000005145
505,0.000999988,-3.000005145
506,0.000999988,-3.000005145
507,0.000999988,-3.000005145
508,0.000999988,-3.000005145
509,0.000999988,-3.000005145
510,0.000999988,-3.000005145
511,0.000999988,-3.000005145
512,0.000999988,-3.000005145
513,0.001004976,-2.997844458
514,0.001004976,-2.997844458
515,0.001004976,-2.997844458
516,0.001004976,-2.997844458
517,0.001004976,-2.997844458
518,0.001004976,-2.997844458
519,0.001004976,-2.997844458
520,0.001004976,-2.997844458
521,0.001004976,-2.997844458
522,0.001008948,-2.996131256
523,0.001008948,-2.996131256
524,0.001008948,-2.996131256
525,0.001008948,-2.996131256
526,0.001008948,-2.996131256
527,0.001011917,-2.994855167
528,0.001013891,-2.994008588
529,0.001013891,-2.994008588
530,0.001013891,-2.994008588
531,0.001013891,-2.994008588
532,0.001013891,-2.994008588
533,0.001013891,-2.994008588
534,0.001019792,-2.991488476
535,0.001019792,-2.991488476
536,0.001019792,-2.991488476
537,0.001019792,-2.991488476
538,0.001019792,-2.991488476
539,0.001019792,-2.991488476
540,0.001019792,-2.991488476
541,0.001019792,-2.991488476
542,0.001020772,-2.991071286
543,0.001020772,-2.991071286
544,0.001021751,-2.990654896
545,0.001021751,-2.990654896
546,0.001021751,-2.990654896
547,0.001021751,-2.990654896
548,0.001021751,-2.990654896
549,0.001021751,-2.990654896
550,0.001029551,-2.987352213
551,0.001029551,-2.987352213
552,0.001029551,-2.987352213
553,0.001029551,-2.987352213
554,0.001029551,-2.987352213
555,0.001029551,-2.987352213
556,0.001029551,-2.987352213
557,0.001029551,-2.987352213
558,0.001029551,-2.987352213
559,0.001029551,-2.987352213
560,0.001032461,-2.986126543
561,0.001032461,-2.986126543
562,0.001032461,-2.986126543
563,0.001032461,-2.986126543
564,0.001032461,-2.986126543
565,0.001037292,-2.984099009
566,0.001037292,-2.984099009
567,0.00104018,-2.982891515
568,0.00104306,-2.981690697
569,0.00104306,-2.981690697
570,0.00104306,-2.981690697
571,0.00104306,-2.981690697
572,0.00104306,-2.981690697
573,0.00104306,-2.981690697
574,0.00104306,-2.981690697
575,0.00104306,-2.981690697
576,0.001044018,-2.981291896
577,0.001044018,-2.981291896
578,0.001044018,-2.981291896
579,0.001044018,-2.981291896
580,0.001044018,-2.981291896
581,0.001044018,-2.981291896
582,0.001044018,-2.981291896
583,0.001044018,-2.981291896
584,0.001044018,-2.981291896
585,0.001046888,-2.980099868
586,0.001046888,-2.980099868
587,0.001046888,-2.980099868
588,0.001046888,-2.980099868
589,0.001046888,-2.980099868
590,0.001046888,-2.980099868
591,0.001047843,-2.979703975
592,0.001047843,-2.979703975
593,0.001052603,-2.977735265
594,0.001052603,-2.977735265
595,0.001052603,-2.977735265
596,0.001052603,-2.977735265
597,0.001052603,-2.977735265
598,0.001055449,-2.97656255
599,0.001055449,-2.97656255
600,0.001055449,-2.97656255
601,0.001055449,-2.97656255
602,0.001055449,-2.97656255
603,0.001060176,-2.97462199
604,0.001060176,-2.97462199
605,0.001060176,-2.97462199
606,0.001060176,-2.97462199
607,0.001060176,-2.97462199
608,0.001060176,-2.97462199
609,0.001060176,-2.97462199
610,0.001060176,-2.97462199
611,0.001063002,-2.973465923
612,0.001063002,-2.973465923
613,0.001063002,-2.973465923
614,0.001066758,-2.971934014
615,0.001066758,-2.971934014
616,0.001066758,-2.971934014
617,0.001066758,-2.971934014
618,0.001066758,-2.971934014
619,0.001066758,-2.971934014
620,0.001074231,-2.968902241
621,0.001074231,-2.968902241
622,0.001075162,-2.968526228
623,0.001075162,-2.968526228
624,0.001075162,-2.968526228
625,0.001075162,-2.968526228
626,0.00107702,-2.967776151
627,0.00107702,-2.967776151
628,0.001080728,-2.966283724
629,0.001080728,-2.966283724
630,0.001080728,-2.966283724
631,0.001080728,-2.966283724
632,0.001081653,-2.965912214
633,0.001081653,-2.965912214
634,0.001081653,-2.965912214
635,0.001081653,-2.965912214
636,0.001081653,-2.965912214
637,0.001081653,-2.965912214
638,0.001081653,-2.965912214
639,0.001082577,-2.965541339
640,0.001082577,-2.965541339
641,0.001082577,-2.965541339
642,0.001088105,-2.963329294
643,0.001088105,-2.963329294
644,0.001088105,-2.963329294
645,0.001088105,-2.963329294
646,0.001089023,-2.962962801
647,0.001089023,-2.962962801
648,0.001096345,-2.960052911
649,0.001099987,-2.95861246
650,0.001104523,-2.95682523
651,0.001104523,-2.95682523
652,0.001104523,-2.95682523
653,0.001104523,-2.95682523
654,0.001104523,-2.95682523
655,0.001106332,-2.956114436
656,0.001106332,-2.956114436
657,0.001106332,-2.956114436
658,0.001106332,-2.956114436
659,0.001106332,-2.956114436
660,0.001107236,-2.95575991
661,0.001110842,-2.954347565
662,0.001110842,-2.954347565
663,0.001110842,-2.954347565
664,0.001110842,-2.954347565
665,0.001118021,-2.951550139
666,0.001118021,-2.951550139
667,0.001118021,-2.951550139
668,0.001118021,-2.951550139
669,0.001118021,-2.951550139
670,0.001118915,-2.951202981
671,0.001118915,-2.951202981
672,0.001118915,-2.951202981
673,0.001120701,-2.950510325
674,0.001120701,-2.950510325
675,0.001120701,-2.950510325
676,0.001120701,-2.950510325
677,0.001121593,-2.950164825
678,0.001121593,-2.950164825
679,0.001121593,-2.950164825
680,0.001121593,-2.950164825
681,0.001121593,-2.950164825
682,0.001121593,-2.950164825
683,0.001121593,-2.950164825
684,0.001121593,-2.950164825
685,0.001121593,-2.950164825
686,0.001126042,-2.948445518
687,0.001126042,-2.948445518
688,0.001126042,-2.948445518
689,0.001128703,-2.947420431
690,0.001128703,-2.947420431
691,0.001128703,-2.947420431
692,0.001132241,-2.946061133
693,0.001132241,-2.946061133
694,0.001132241,-2.946061133
695,0.001140162,-2.943033469
696,0.001140162,-2.943033469
697,0.001140162,-2.943033469
698,0.001140162,-2.943033469
699,0.001140162,-2.943033469
700,0.001140162,-2.943033469
701,0.001140162,-2.943033469
702,0.001140162,-2.943033469
703,0.00114279,-2.942033557
704,0.00114279,-2.942033557
705,0.00114279,-2.942033557
706,0.00114279,-2.942033557
707,0.001145412,-2.941038228
708,0.001145412,-2.941038228
709,0.001145412,-2.941038228
710,0.001145412,-2.941038228
711,0.001145412,-2.941038228
712,0.001145412,-2.941038228
713,0.001146285,-2.940707463
714,0.001146285,-2.940707463
715,0.001149769,-2.939389418
716,0.001149769,-2.939389418
717,0.001149769,-2.939389418
718,0.001154109,-2.937753033
719,0.001154109,-2.937753033
720,0.001154109,-2.937753033
721,0.001160159,-2.935482615
722,0.00116102,-2.935160199
723,0.00116102,-2.935160199
724,0.001163601,-2.934195813
725,0.001163601,-2.934195813
726,0.001166177,-2.933235691
727,0.001166177,-2.933235691
728,0.001166177,-2.933235691
729,0.001170456,-2.931644862
730,0.001170456,-2.931644862
731,0.001170456,-2.931644862
732,0.001170456,-2.931644862
733,0.001170456,-2.931644862
734,0.001170456,-2.931644862
735,0.001173869,-2.930380536
736,0.001173869,-2.930380536
737,0.001173869,-2.930380536
738,0.001173869,-2.930380536
739,0.001176421,-2.9294371
740,0.001176421,-2.9294371
741,0.001176421,-2.9294371
742,0.001176421,-2.9294371
743,0.001180664,-2.927873758
744,0.001180664,-2.927873758
745,0.001180664,-2.927873758
746,0.001180664,-2.927873758
747,0.001180664,-2.927873758
748,0.00118151,-2.927562436
749,0.00118151,-2.927562436
750,0.001184047,-2.926631138
751,0.001184047,-2.926631138
752,0.001184047,-2.926631138
753,0.001184047,-2.926631138
754,0.001184047,-2.926631138
755,0.001184047,-2.926631138
756,0.001188262,-2.925087797
757,0.001188262,-2.925087797
758,0.001188262,-2.925087797
759,0.001188262,-2.925087797
760,0.001190784,-2.92416703
761,0.001190784,-2.92416703
762,0.001190784,-2.92416703
763,0.001190784,-2.92416703
764,0.001190784,-2.92416703
765,0.001193301,-2.923250151
766,0.001193301,-2.923250151
767,0.001193301,-2.923250151
768,0.001199986,-2.920823899
769,0.001199986,-2.920823899
770,0.001199986,-2.920823899
771,0.001199986,-2.920823899
772,0.001199986,-2.920823899
773,0.001203314,-2.919620864
774,0.001203314,-2.919620864
775,0.001204145,-2.919321144
776,0.001204145,-2.919321144
777,0.001204145,-2.919321144
778,0.001204145,-2.919321144
779,0.001204145,-2.919321144
780,0.001207462,-2.918126383
781,0.00120829,-2.917828717
782,0.00120829,-2.917828717
783,0.001210771,-2.91693816
784,0.001216538,-2.914874287
785,0.001216538,-2.914874287
786,0.001216538,-2.914874287
787,0.001216538,-2.914874287
788,0.001220641,-2.913412011
789,0.001220641,-2.913412011
790,0.00122146,-2.913120734
791,0.001227992,-2.910804474
792,0.001227992,-2.910804474
793,0.001227992,-2.910804474
794,0.001227992,-2.910804474
795,0.001230432,-2.909942208
796,0.001236917,-2.90765943
797,0.001236917,-2.90765943
798,0.001236917,-2.90765943
799,0.001236917,-2.90765943
800,0.001240147,-2.906526977
801,0.001242563,-2.905681497
802,0.001243368,-2.9054004
803,0.001243368,-2.9054004
804,0.001243368,-2.9054004
805,0.001245778,-2.904559287
806,0.001245778,-2.904559287
807,0.001245778,-2.904559287
808,0.001245778,-2.904559287
809,0.001252183,-2.902332116
810,0.001252183,-2.902332116
811,0.001252183,-2.902332116
812,0.001252982,-2.902055319
813,0.001255374,-2.901227039
814,0.001255374,-2.901227039
815,0.00125935,-2.899853554
816,0.00125935,-2.899853554
817,0.00125935,-2.899853554
818,0.00125935,-2.899853554
819,0.00125935,-2.899853554
820,0.001260144,-2.899579896
821,0.001262522,-2.898760987
822,0.001262522,-2.898760987
823,0.001264896,-2.897945154
824,0.001264896,-2.897945154
825,0.001264896,-2.897945154
826,0.001271205,-2.895784467
827,0.001271205,-2.895784467
828,0.001271205,-2.895784467
829,0.001271205,-2.895784467
830,0.001279047,-2.893113495
831,0.001279047,-2.893113495
832,0.00128061,-2.892583221
833,0.00128061,-2.892583221
834,0.00128139,-2.892318569
835,0.001287618,-2.890212882
836,0.001290721,-2.889167647
837,0.001290721,-2.889167647
838,0.001290721,-2.889167647
839,0.001296904,-2.887092149
840,0.001297675,-2.886834102
841,0.001299985,-2.886061793
842,0.001299985,-2.886061793
843,0.001299985,-2.886061793
844,0.001299985,-2.886061793
845,0.001299985,-2.886061793
846,0.001299985,-2.886061793
847,0.001299985,-2.886061793
848,0.001303825,-2.884780684
849,0.001303825,-2.884780684
850,0.001303825,-2.884780684
851,0.001303825,-2.884780684
852,0.001306124,-2.884015632
853,0.001306124,-2.884015632
854,0.001309183,-2.882999736
855,0.001315279,-2.880982094
856,0.001315279,-2.880982094
857,0.001315279,-2.880982094
858,0.001315279,-2.880982094
859,0.001316039,-2.880731201
860,0.001316039,-2.880731201
861,0.00132059,-2.879231905
862,0.001321347,-2.878983025
863,0.001327388,-2.877002193
864,0.001328141,-2.876755855
865,0.001329646,-2.876264015
866,0.001329646,-2.876264015
867,0.001334151,-2.874795144
868,0.001334151,-2.874795144
869,0.001341625,-2.872368893
870,0.00134237,-2.872127752
871,0.00134237,-2.872127752
872,0.001345346,-2.871165858
873,0.001345346,-2.871165858
874,0.001345346,-2.871165858
875,0.001345346,-2.871165858
876,0.001345346,-2.871165858
877,0.001345346,-2.871165858
878,0.001345346,-2.871165858
879,0.001348316,-2.870208206
880,0.001352019,-2.869017049
881,0.001352019,-2.869017049
882,0.001357924,-2.867124687
883,0.001357924,-2.867124687
884,0.001360131,-2.866419281
885,0.001365268,-2.864782191
886,0.001365268,-2.864782191
887,0.001365268,-2.864782191
888,0.001371844,-2.862695336
889,0.001377663,-2.860857041
890,0.001377663,-2.860857041
891,0.001380563,-2.859943697
892,0.001387067,-2.857902611
893,0.001387067,-2.857902611
894,0.001387067,-2.857902611
895,0.001388508,-2.85745163
896,0.001389228,-2.857226491
897,0.001389228,-2.857226491
898,0.001389228,-2.857226491
899,0.001392822,-2.85610428
900,0.001400698,-2.853655644
901,0.001400698,-2.853655644
902,0.00140355,-2.852772032
903,0.001414197,-2.849490147
904,0.001414197,-2.849490147
905,0.00142125,-2.84732946
906,0.001426167,-2.845829671
907,0.001431765,-2.844128215
908,0.001431765,-2.844128215
909,0.001431765,-2.844128215
910,0.001437342,-2.842439987
911,0.001437342,-2.842439987
912,0.001440122,-2.841600769
913,0.001442203,-2.840973478
914,0.00145463,-2.837247313
915,0.00145463,-2.837247313
916,0.00145463,-2.837247313
917,0.00145463,-2.837247313
918,0.00145463,-2.837247313
919,0.00146012,-2.835611545
920,0.001464906,-2.834190286
921,0.001466952,-2.833584012
922,0.00147511,-2.8311757
923,0.001476465,-2.830776898
924,0.001476465,-2.830776898
925,0.001481198,-2.829386834
926,0.001489277,-2.827024374
927,0.001499982,-2.823913886
928,0.001502646,-2.823143176
