Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness
-2,-3,4.60555127546399,name36,1,117.04,0.00854408749145591
-2,-2,3.82842712474619,name37,1,117.04,0.00854408749145591
-2,-1,3.23606797749979,name38,1,117.04,0.00854408749145591
-2,0,3,name39,1,117.04,0.00854408749145591
-2,1,3.23606797749979,name40,1,117.04,0.00854408749145591
-2,2,3.82842712474619,name41,1,117.04,0.00854408749145591
-2,3,4.60555127546399,name42,1,117.04,0.00854408749145591
-2,4,5.47213595499958,name43,1,117.04,0.00854408749145591
-2,5,6.3851648071345,name44,1,117.04,0.00854408749145591
-1,-5,6.09901951359278,name45,1,117.04,0.00854408749145591
-1,-4,5.12310562561766,name46,1,117.04,0.00854408749145591
-1,-3,4.16227766016838,name47,1,117.04,0.00854408749145591
-1,-2,3.23606797749979,name48,1,117.04,0.00854408749145591
-1,-1,2.41421356237309,name49,1,117.04,0.00854408749145591
-1,0,2,name50,1,117.04,0.00854408749145591
-1,1,2.41421356237309,name51,1,117.04,0.00854408749145591
-1,2,3.23606797749979,name52,1,117.04,0.00854408749145591
-1,3,4.16227766016838,name53,1,117.04,0.00854408749145591
-1,4,5.12310562561766,name54,1,117.04,0.00854408749145591
-1,5,6.09901951359278,name55,1,117.04,0.00854408749145591
0,-5,6,name56,1,117.04,0.00854408749145591
0,-4,5,name57,1,117.04,0.00854408749145591
0,-3,4,name58,1,117.04,0.00854408749145591
0,-2,3,name59,1,117.04,0.00854408749145591
0,-1,2,name60,1,117.04,0.00854408749145591
0,0,1,name61,1,117.04,0.00854408749145591
0,1,2,name62,1,117.04,0.00854408749145591
0,2,3,name63,1,117.04,0.00854408749145591
0,3,4,name64,1,117.04,0.00854408749145591
0,4,5,name65,1,117.04,0.00854408749145591
0,5,6,name66,1,117.04,0.00854408749145591
1,-5,6.09901951359278,name67,1,117.04,0.00854408749145591
1,-4,5.12310562561766,name68,1,117.04,0.00854408749145591
1,-3,4.16227766016838,name69,1,117.04,0.00854408749145591
1,-2,3.23606797749979,name70,1,117.04,0.00854408749145591
1,-1,2.41421356237309,name71,1,117.04,0.00854408749145591
1,0,2,name72,1,117.04,0.00854408749145591
1,1,2.41421356237309,name73,1,117.04,0.00854408749145591
1,2,3.23606797749979,name74,1,117.04,0.00854408749145591
1,3,4.16227766016838,name75,1,117.04,0.00854408749145591
1,4,5.12310562561766,name76,1,117.04,0.00854408749145591
1,5,6.09901951359278,name77,1,117.04,0.00854408749145591
2,-5,6.3851648071345,name78,1,117.04,0.00854408749145591
2,-4,5.47213595499958,name79,1,117.04,0.00854408749145591
2,-3,4.60555127546399,name80,1,117.04,0.00854408749145591
2,-2,3.82842712474619,name81,1,117.04,0.00854408749145591
2,-1,3.23606797749979,name82,1,117.04,0.00854408749145591
2,0,3,name83,1,117.04,0.00854408749145591
2,1,3.23606797749979,name84,1,117.04,0.00854408749145591
2,2,3.82842712474619,name85,0.00999999999999979,117.04,8.54408749145573e-05
2,2.01,3.83550700933713,name86,0.00999999999999979,117.04,8.54408749145573e-05
2,4,5.47213595499958,name87,1,117.04,0.00854408749145591
2,5,6.3851648071345,name88,1,117.04,0.00854408749145591
3,-5,6.8309518948453,name89,1,117.04,0.00854408749145591
3,-4,6,name90,1,117.04,0.00854408749145591
3,-3,5.24264068711928,name91,1,117.04,0.00854408749145591
3,-2,4.60555127546399,name92,1,117.04,0.00854408749145591
3,-1,4.16227766016838,name93,1,117.04,0.00854408749145591
3,0,4,name94,1,117.04,0.00854408749145591
3,1,4.16227766016838,name95,1,117.04,0.00854408749145591
2.01,2,3.83550700933713,name96,0.00999999999999979,117.04,8.54408749145573e-05
2.01,2.01,3.84256926036992,name97,0.00999999999999979,117.04,8.54408749145573e-05
3,4,6,name98,1,117.04,0.00854408749145591
3,5,6.8309518948453,name99,1,117.04,0.00854408749145591
4,-5,7.40312423743285,name100,1,117.04,0.00854408749145591
4,-4,6.65685424949238,name101,1,117.04,0.00854408749145591
4,-3,6,name102,1,117.04,0.00854408749145591
4,-2,5.47213595499958,name103,1,117.04,0.00854408749145591
4,-1,5.12310562561766,name104,1,117.04,0.00854408749145591
4,0,5,name105,1,117.04,0.00854408749145591
4,1,5.12310562561766,name106,1,117.04,0.00854408749145591
4,2,5.47213595499958,name107,1,117.04,0.00854408749145591
4,3,6,name108,1,117.04,0.00854408749145591
4,4,6.65685424949238,name109,1,117.04,0.00854408749145591
4,5,7.40312423743285,name110,1,117.04,0.00854408749145591
5,-5,8.07106781186548,name111,1,117.04,0.00854408749145591
5,-4,7.40312423743285,name112,1,117.04,0.00854408749145591
5,-3,6.8309518948453,name113,1,117.04,0.00854408749145591
5,-2,6.3851648071345,name114,1,117.04,0.00854408749145591
5,-1,6.09901951359278,name115,1,117.04,0.00854408749145591
5,0,6,name116,1,117.04,0.00854408749145591
5,1,6.09901951359278,name117,1,117.04,0.00854408749145591
5,2,6.3851648071345,name118,1,117.04,0.00854408749145591
5,3,6.8309518948453,name119,1,117.04,0.00854408749145591
5,4,7.40312423743285,name120,1,117.04,0.00854408749145591
5,5,8.07106781186548,name121,1,117.04,0.00854408749145591
