Long,Lat,v1_sp_75_555_111_1021_0__real3,Name
4.18,1.3,-1.138044,name241
-1.44,2.24,-0.851113439,name242
4.03,-2.58,-1.40496552,name243
-2.88,1.95,-0.836503386,name244
-4.02,1.08,-0.076555409,name245
2.55,-4.88,-2.042736053,name246
0,4.77,0.743736386,name247
-2.93,4.14,-1.45691824,name248
-0.57,-0.2,-1.710774779,name249
-3.71,1.1,-0.485082895,name250
4.3,-1.99,0.084932052,name251
-2.09,2.63,-3.157337189,name252
1,-1.68,0.813857496,name253
0.1,-2.57,-1.504929423,name254
4.95,-1.18,-0.43566817,name255
-4.65,-4.41,-0.890125751,name256
1.08,0.92,-1.817871213,name257
-4.26,-2.29,0.189502195,name258
4.47,-3.58,-0.443848431,name259
-1.57,4.2,-0.015026622,name260
-3.37,4.25,-1.32388401,name261
-0.99,-1.74,-0.922752917,name262
-4.07,4.32,0.667626977,name263
3.16,-0.8,0.041128378,name264
0.73,0.89,-0.367695659,name265
0.19,-2.81,0.840910137,name266
-3.31,4.83,-0.258114427,name267
3.63,-2.58,-1.70413816,name268
-1.94,-4.6,-1.424883366,name269
-0.7,0.77,-0.450169504,name270
0.37,2.01,-0.021265566,name271
2.15,0.3,0.290202916,name272
-2.52,-0.1,-1.148272157,name273
1.86,-2.61,-0.766652346,name274
-4.13,-2.85,1.112922907,name275
4.53,0.73,-0.09131553,name276
4.11,4.77,0.506582379,name277
-4.13,-3.62,-0.52632004,name278
3.09,-3.92,-3.165180683,name279
3.17,-0.34,0.288124084,name280
-3.11,4.08,-0.860244274,name281
-3.14,1.89,0.659171343,name282
-2.99,-4.84,-0.901820242,name283
-1.53,-3.16,0.64339757,name284
3.15,2.98,-1.278787613,name285
2.12,3.91,-0.030986249,name286
3.58,-2.15,-1.643051267,name287
-4.34,3.77,-0.798505902,name288
2.77,-1,-1.459879994,name289
0.87,1.99,-1.848494291,name290
-0.28,1.51,2.418117523,name291
-2.44,-3.66,-1.654369116,name292
2.2,2.15,1.832946539,name293
-2.65,4.02,0.235143721,name294
-0.99,1.47,0.002827776,name295
4.55,-1.8,-1.098439336,name296
1.92,-0.17,1.364039183,name297
0.17,2.89,-0.591825783,name298
-2.09,4.6,0.703028977,name299
2.78,-0.23,0.015629217,name300
4.75,0.06,-1.588426232,name301
2.83,0.81,-0.625906408,name302
3.29,2.57,-0.865934134,name303
-0.28,2.83,-0.388497442,name304
-4.81,-2.76,-0.250440419,name305
1.61,-3.43,-0.5772928,name306
3.35,0.86,0.410012811,name307
0.14,0.58,-0.316913933,name308
2.46,-2.44,1.562840462,name309
-1.87,0.24,-1.394099951,name310
1.94,-3.6,-0.90734601,name311
4.48,-4.71,-0.540340185,name312
-4.26,1.92,-0.233482122,name313
-3.87,0.73,-1.487609982,name314
-3.83,0.3,0.010328334,name315
1.62,-3.06,-0.739463747,name316
1.22,-0.47,-1.108854413,name317
1.48,-2.91,0.105045967,name318
4.11,-4.62,-1.219877601,name319
2.16,4.68,0.124279968,name320
-4.65,-4.87,-0.869565308,name321
3.76,4.06,0.170802832,name322
-2.53,4.25,0.559160531,name323
-1.48,4.67,0.747791946,name324
-2.49,0.19,-0.475528061,name325
-4.14,-2.59,0.544270098,name326
-3.46,-2.77,0.038480774,name327
-2.3,4.71,-0.196646437,name328
-1.83,-3.39,-0.205083594,name329
2.14,-4.92,-0.991556942,name330
2.21,1.63,1.828854203,name331
3.64,-3.54,-1.808083773,name332
2.45,-3,-0.519048035,name333
-0.74,-2.27,-1.338316679,name334
3.79,0.88,0.340409726,name335
4.87,-1.93,-1.208771586,name336
-3.1,-0.04,-0.539508402,name337
1.04,-4.92,-2.143151283,name338
1.42,0.43,-1.591897368,name339
-3.8,0.52,-0.260761112,name340
1.8,1.51,-0.803051829,name341
4.07,3.11,-1.273759127,name342
4.55,-4.29,0.5304057,name343
3.43,4.82,0.178787574,name344
0.15,0.88,0.309760123,name345
-4.82,-1.74,-0.15796046,name346
2.79,-0.79,-0.770673752,name347
3.6,-2.38,-1.327895641,name348
0.11,3.58,2.099290609,name349
0.32,0.98,-0.282878548,name350
-3.18,-4.98,0.505875468,name351
4.91,-4.92,0.15675509,name352
2.96,-4.88,-2.466837645,name353
-1.48,0.47,-1.314614654,name354
3.36,-2.12,-2.329407454,name355
2.1,-0.49,0.797994792,name356
-2.39,4.09,1.181805968,name357
-3.8,-4.53,-0.494778454,name358
1.17,-1.45,-0.313615233,name359
-4.58,-2.91,-0.252989352,name360
-4.5,-3.12,0.246963099,name361
3.3,-2.95,-1.53777051,name362
-3.47,-3.85,-1.677882552,name363
-0.99,1.23,1.440521359,name364
-2.04,-2.91,1.682145596,name365
-2.82,-0.59,-1.02985549,name366
0.94,3.99,0.322482586,name367
-3,3.67,-0.797020733,name368
4.75,-4.25,-0.079597473,name369
4.98,4.08,0.752843082,name370
4.95,-4.1,0.529010057,name371
0.29,4.29,0.518965304,name372
-3.47,3.8,-1.395515203,name373
-3.62,-2,-0.082167976,name374
3.26,-4.95,-1.77620995,name375
-1.07,4.97,-0.420603484,name376
3.12,0.82,-0.393990785,name377
3.74,0.69,0.109782271,name378
-2.62,0.35,-0.291783929,name379
-0.67,4.72,0.366127819,name380
-2.12,3.69,0.160650209,name381
-4.22,4.84,-1.174181223,name382
0.66,-0.56,0.588411152,name383
1.18,4.03,0.403921604,name384
-4.7,-0.96,-1.444349527,name385
-1.36,-0.44,-0.741105318,name386
4.34,-4.92,-0.26306951,name387
-1.62,4.83,1.563869953,name388
-4.86,4,-2.330417871,name389
-1.96,-0.47,0.838799536,name390
-3.98,-4.98,-0.119501509,name391
-4.49,0.82,-0.00623379,name392
2.54,-0.65,-1.269789696,name393
0.45,-4.89,-0.781983852,name394
2.08,-3.15,-0.064538114,name395
-2.41,2.67,-1.774355412,name396
0.96,-0.53,-0.903571665,name397
2.59,-1.42,-2.083225966,name398
4.04,-1.86,0.844424665,name399
-4.65,-0.52,-2.019011736,name400
0.2,2.09,1.524236083,name401
4.5,4.95,-0.655419886,name402
3.2,2.41,-0.585157514,name403
4.81,-3.11,0.64419502,name404
2.03,3.17,-1.589148402,name405
-0.29,-2.92,-0.271311998,name406
4.12,-3.68,-1.388117671,name407
-4.54,3.38,-1.558756471,name408
3.09,1.81,0.718000174,name409
2.6,-2.56,-0.200915501,name410
-4.72,1.43,-0.324586868,name411
-2.41,-4.38,0.45630762,name412
-1.85,2.14,-1.65765214,name413
-0.57,4.98,-0.730171561,name414
-3.46,2.13,0.563444674,name415
4.23,4.6,1.598089218,name416
-1.54,-2.51,0.541858912,name417
4.53,-4.94,-1.74306953,name418
0.03,4.98,-1.382627606,name419
-3.23,1.22,-1.489961505,name420
0.64,1.07,-1.187426925,name421
-3.53,4.35,-1.570431709,name422
-2.45,0.58,-0.001375514,name423
-2.15,-1.56,0.263164252,name424
1.69,-0.64,-0.155443415,name425
-1.69,2.39,-0.526909232,name426
1.47,2.28,-1.805454969,name427
1.95,1.76,-0.337646961,name428
-4.11,-4.81,-0.087967113,name429
4.02,0.78,1.105357885,name430
4.76,3.83,0.186371282,name431
-2.43,-3.44,-2.673520327,name432
3.51,0.44,-0.714718878,name433
2.23,-1.13,-1.518381,name434
3.88,-1.11,-0.975558698,name435
-1.03,-0.06,-0.476943344,name436
-1.74,4.1,-2.113013268,name437
-3.44,-0.71,-0.054886326,name438
3.33,-0.03,0.57169199,name439
-0.37,-0.27,-1.401636243,name440
4.14,1.49,-1.374418736,name441
-3.31,-0.26,-1.192377806,name442
-4.74,1.18,0.643778741,name443
-4.77,2.36,-0.032655038,name444
3.76,2.91,0.204103678,name445
-4.2,1.54,-0.31665644,name446
2.24,2.75,-0.704315305,name447
3.33,-0.97,0.643754601,name448
-4.6,3.6,-1.672774076,name449
-1.16,4.31,-0.316168636,name450
-2.87,-2.99,-0.074275821,name451
4.47,-2.39,-0.242087513,name452
0.91,-3.95,-3.041092157,name453
-0.86,-4.07,-0.841304898,name454
-1.19,-1.84,-0.870446861,name455
-2.76,3.29,-1.434576035,name456
1.58,3.71,0.200996488,name457
4.26,1.11,-0.534921288,name458
-0.37,-4.38,-0.625896454,name459
-4,2.27,0.454731435,name460
-2.03,-2.4,0.510858774,name462
1.05,-0.87,-0.920447469,name463
2.96,4.4,-2.142684221,name464
-0.1,2.73,-0.571187317,name465
-4.95,-3.14,-0.478894919,name466
-0.54,4.12,0.593183279,name467
-4.08,0.21,-0.826928914,name468
0.77,2.21,-2.428347111,name469
-1.96,4.27,0.175635457,name470
2.52,-1.25,-2.496973515,name471
3.44,1.04,-1.3365134,name472
-4.58,1.03,-0.358529657,name473
-1.55,-2.01,-0.605966151,name474
-2.18,-2.17,0.657307088,name475
0.99,-4.31,-3.132361412,name476
-1.47,-1.18,0.398754418,name477
-1.12,-0.22,-0.132162869,name478
-2.65,-2.84,0.405678511,name479
0.46,4.35,0.658945918,name480
2.39,3.71,-0.511418879,name481
0.2,-0.22,-0.542879939,name482
0.1,-3.15,0.400965124,name483
2.76,-3.05,0.727873325,name484
-3.2,-1.82,-2.08158803,name485
-1.73,-1.29,0.508666813,name486
1,4.39,-0.627341747,name487
-1.36,4.13,-0.702410758,name488
2.83,4.67,-0.662315488,name489
2.17,0.75,-0.571713626,name490
-4.82,-0.71,-0.676344216,name491
0.09,-4.95,-1.042499185,name492
-2.16,-4.75,0.062761575,name493
-1.55,0.97,-0.151009753,name494
-4.99,-3.68,-2.02772522,name495
3.04,-1.9,-2.645873308,name496
-4.09,3.32,0.789420068,name497
-0.86,-4.67,0.112069167,name498
1.2,3.6,0.715144157,name499
-2.14,0.15,-1.14038682,name500
0.79,3.58,-0.146999493,name501
-1.66,-3.61,-0.569382906,name502
0.95,3.7,0.381421715,name503
-2.86,0.38,-0.723209739,name504
1.92,-3.04,-0.23817201,name505
-2.03,0.43,-1.16091609,name506
-2.6,-0.27,-1.128816247,name507
-2.55,-4.16,-0.228973672,name508
0.55,3.43,1.51772821,name509
4.48,3.87,-0.436039686,name510
2.16,-0.16,1.499355674,name511
3.78,-4.4,-1.818428755,name512
1.69,4.34,0.010724367,name513
3.56,0.78,0.558980405,name514
2.87,-4.45,-1.522746682,name515
1.12,4.87,0.194458634,name516
-4.01,-1.45,0.195230678,name517
3.01,4.6,-1.160567164,name518
-4.52,-2.57,0.68051827,name519
-4.27,-3.16,0.395721883,name520
-1.1,-3.41,1.02983737,name521
-3.29,2.46,0.854544699,name522
-0.41,-0.89,-0.261148989,name523
-2.13,1.93,-0.439687341,name524
-4.29,-0.51,-1.323356986,name525
3.41,1.44,-0.891689599,name526
0.33,3.97,1.043860793,name527
-3.75,-2.97,0.276630044,name528
-2.72,3.56,0.629468501,name529
-1.88,-3.87,-0.35692966,name530
3.38,4.64,-1.444137692,name531
2.81,3.02,-1.974276066,name532
-0.64,2.02,-0.024493501,name533
-0.93,-3.84,0.241709337,name534
-0.1,-4.18,0.367609233,name535
-4.31,-2.9,0.871892512,name536
-4.81,-3.46,-0.499580652,name537
4.15,-1.06,0.166361675,name538
-2.34,1.56,-0.814152956,name539
3.01,-2.2,-2.459918022,name540
0.05,3.28,1.48975265,name541
3.37,3.74,1.294409037,name542
-1.3,-2.11,-0.066406734,name543
3.12,-0.98,0.015929345,name544
-0.32,3.14,0.646264255,name545
4.92,-4.51,-0.268116981,name546
2.27,-4.04,-1.402376175,name547
1.67,0.76,-1.413203359,name548
4.18,-3.3,0.575600088,name549
-1.37,-4.2,-0.184439823,name550
-0.5,0.47,-0.989024818,name551
-1.73,3.34,-1.742904067,name552
3.06,4.03,0.189451829,name553
-4.29,-1.08,0.807231009,name554
-1.42,-3.9,0.038326338,name555
-0.77,-1.97,-0.317718685,name556
-3.6,2.44,0.71643132,name557
-2.02,-0.73,0.87547183,name558
-4.76,-2.31,0.295535445,name559
2.12,4.92,-1.676901817,name560
-3.79,-2.48,1.719344854,name561
-2.24,-0.08,-1.15487361,name562
4.47,0.06,-1.105954409,name563
2.97,1.16,-1.333064318,name564
-0.91,1.03,0.71094954,name565
-0.31,-0.06,-1.461012006,name566
-3.15,-2.9,-0.525932074,name567
-3.01,1.39,-2.125524998,name568
-0.37,2.38,-0.539288163,name569
2.94,-2.49,-0.410356253,name570
-0.8,1.55,0.522287846,name571
-4.85,4.9,-0.735989451,name573
1.43,-4.12,-1.877065301,name574
-3.02,4.55,-1.101362586,name575
1.63,0.48,-0.461389989,name576
2.75,-4.88,-2.096716166,name577
1.52,0.09,-0.845505416,name578
-2.2,-1.75,0.110508226,name579
-4.29,0.5,-1.49382174,name580
-0.18,2.24,-0.089865386,name581
2.26,2.33,-0.048691116,name582
-1.51,4.42,0.665418506,name583
4.23,1.73,-0.742220521,name584
3.72,-0.12,-0.104904518,name585
3.93,-1.5,-0.135454476,name586
-3.96,-2.76,0.794693887,name587
-0.58,4.38,-0.1971367,name588
2.67,-2.79,-1.055236578,name589
-3.65,-2.7,0.664429069,name590
-2.35,-0.24,-0.968166709,name591
1.89,-2.29,0.33573699,name592
-4.67,-1.36,-0.534957469,name593
4.45,-2.21,1.176051378,name594
-1.31,-1.31,0.110054888,name595
2.65,-2.38,0.621243417,name596
-3.32,-3,-0.149521813,name597
1.05,2.82,0.37128967,name598
-2.67,-3.67,-2.22985673,name599
2.73,3.79,-0.381634921,name600
4.81,0.48,-0.54553318,name601
2.35,-4.44,-1.061844826,name602
0.4,3.13,1.808454514,name603
2.41,-2.21,0.667732775,name604
-3.24,3.27,-1.751159549,name605
1.55,-2.71,-0.327747226,name606
0.09,4.23,0.276548266,name607
3.39,-1.33,0.352802992,name608
-4.08,-4.62,-1.161925793,name609
0.54,1.49,-1.544593811,name610
1.09,3.18,0.027100038,name611
-0.26,3.73,-1.439397931,name612
2.62,2.55,-0.545253515,name613
2.85,-2.1,-1.846150041,name614
4.99,3.43,0.144346356,name615
-3.93,-0.63,-0.695946217,name616
-4.24,-1.67,-0.883508086,name617
1.74,-1.43,-2.037289858,name618
4.77,1.14,-0.822836578,name619
2.08,0.1,0.912461579,name620
1.04,4.66,0.036911529,name621
0.87,-3.53,-1.14117074,name622
-3.02,2.76,-1.516397476,name623
-0.96,1.77,-0.239601418,name624
-3.76,-1.02,0.415974796,name625
-2.2,1.17,1.031072855,name626
-1.88,2.97,-0.169791728,name627
-2.81,0.89,-0.682692349,name628
-1.71,0.65,-0.928104818,name629
-4.46,0.12,-1.245272636,name630
3.28,-2.31,-1.975815177,name631
-3.87,-3.97,-0.640900612,name632
3.8,-0.89,-0.40401575,name633
1.65,-1.16,-1.68703866,name634
-4.96,-2.91,-0.970598578,name635
-0.27,-4.23,-0.033641156,name636
1.23,0.22,0.238856003,name637
0.46,-2.2,1.472705245,name638
-1.47,-0.83,-0.550077558,name639
-3.28,0.25,-1.149325728,name640
-3.87,2.93,0.308942229,name641
4.28,-4.69,-0.198664218,name642
-1.78,1.81,-0.57431227,name643
-1.56,1.51,-0.634583175,name644
2.05,-2.13,-0.189684674,name645
0.29,-4.02,-0.591653466,name646
-3.09,-4.47,-1.904301643,name647
-3.73,3.99,0.11482919,name648
1.15,-3.01,0.792950094,name649
4.95,2.14,0.372356832,name650
3.51,2.62,-0.233331218,name651
3.41,-2.55,-1.078024864,name652
-0.66,-2.77,-0.365011424,name653
1.05,2.31,-1.92158258,name654
-3.24,3.05,-1.266560912,name655
0.67,-3.38,-1.716543555,name656
0.44,-1.53,0.061244119,name657
2.36,-4.7,-0.579865575,name658
-4.45,1.79,0.653849542,name659
-3.65,3.2,-1.487890959,name660
-0.15,-0.43,-1.065438628,name661
-0.66,-0.51,-1.035077691,name662
4.74,-3.9,0.112499073,name663
-3.59,0.85,-0.500959873,name664
-1.02,0.79,0.214293525,name665
1.32,2.43,-1.47678864,name666
-3.46,0.28,-1.236513257,name667
-0.46,-1.42,0.278351694,name668
-2.92,-1.6,-1.078959942,name669
2.5,4.02,-0.636254787,name670
-4.94,0.88,-0.435670108,name671
2.99,-1.65,-3.05729413,name672
-2.6,-2.06,-0.965509832,name673
-4.76,-3.72,-0.682757497,name674
3.34,-3.19,-1.559127569,name675
4.86,-3.77,0.90682584,name676
4.43,2.38,-0.738352358,name677
-0.18,0.34,-0.741929591,name678
-2.79,-4.07,-1.141094327,name679
-3.5,2.76,0.054839324,name680
-0.95,3.56,-2.444689512,name681
2.31,3.23,-1.267111182,name682
-1.22,1.86,-0.989465594,name683
4.98,1.52,-0.042866819,name684
-3.79,-2.27,-0.472318262,name685
1.66,4.57,-0.179691806,name686
2.25,-0.85,-1.018529534,name687
-2.1,0.83,-0.607177615,name688
2.48,-1.93,-0.906657934,name689
-2.27,3.41,-0.407259971,name690
-1.85,-1.04,0.843336642,name691
-4.27,-4.28,-1.699308038,name692
4.9,-3.59,0.657578886,name693
3.86,0.55,-0.15186666,name694
4.55,0.48,-0.388316125,name695
-3.31,-1.17,-1.046941161,name696
0.69,4.71,-0.652157426,name697
3.93,-4.84,-0.347755134,name698
1.27,-3.27,0.655898273,name699
-2.89,2.96,-1.494750738,name700
3.38,-4.12,-2.897207975,name701
-3.79,-4.8,-0.735776842,name702
4.92,2.5,-0.7724002,name703
4.65,3.09,-0.410299629,name704
1.34,-0.05,-0.509432435,name705
-3.87,4.83,-1.574067116,name706
-1.59,-0.01,-0.308127403,name707
-1.91,-1.3,0.516548097,name708
-2.23,-2.46,1.64002037,name709
1.04,-1.9,0.208050698,name710
-3.28,-0.08,-0.727840304,name711
1.31,-4.93,-2.550036669,name712
-0.85,-2.43,-0.794688821,name713
-3.19,-0.69,-1.632449508,name714
-4.79,0.71,-1.057964683,name715
-3.25,2.11,0.951388299,name716
2.64,-3.25,0.498486608,name717
-1.26,3.73,-2.03771925,name718
-0.15,2.5,0.069076113,name719
1.41,3.16,-1.277207017,name720
-1.98,3.86,-0.464181155,name721
-3.79,1.85,1.080633521,name722
3.13,4.27,-0.89618814,name723
4.06,-0.07,0.557169855,name724
-2.77,-4.89,-1.024137616,name725
4.27,4.42,2.972357035,name726
-0.67,0.17,-1.636791706,name727
4.69,1.43,-0.373720884,name728
-0.37,4.46,0.755225897,name729
-2.55,4.86,0.596573114,name730
4.08,4.5,1.645834208,name731
2.37,-3.79,-1.386957526,name732
-4.94,-1.02,-0.376567721,name733
0.13,1.83,1.022265792,name734
0.29,2.35,1.015741467,name735
-4.65,-0.17,-1.380388856,name736
2.97,-0.24,0.45897612,name737
3.65,1.67,-1.893942118,name738
2.34,0.6,-1.472093463,name739
0.15,-2.37,-0.845232308,name740
-2.64,0.82,-0.566879869,name741
-4.06,-4.33,-1.707381845,name742
-0.81,-4.93,-0.685334265,name743
4.96,-1.49,-1.764297724,name744
1.62,3.03,-1.568966746,name745
-0.97,2.68,0.361841887,name746
3.22,4.9,-0.142253935,name747
-2.56,-1.47,-0.958774626,name748
-0.53,-1.18,-0.60949707,name749
0.48,-0.03,1.587125421,name750
